Sample in Buffer,Sample in Window,TRIGGER,addr_wire[11:0],douta_wire[23:0],filtered_ecg_wire[39:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
3024,3024,0,5d9,29d036,0020484f00
3025,3025,0,5da,1b4e81,001fb87d00
3026,3026,0,5db,1b4e81,001f272c00
3027,3027,0,5dc,147ae1,001e9ab400
3028,3028,0,5dd,17e4b1,001e111a00
3029,3029,0,5de,18bf25,001d76af00
3030,3030,0,5df,147ae1,001cb8a000
3031,3031,0,5e0,206d3a,001bd39100
3032,3032,0,5e1,111111,001abfa900
3033,3033,0,5e2,162fc9,0019872a00
3034,3034,0,5e3,147ae1,0018253700
3035,3035,0,5e4,0f5c29,00169ca300
3036,3036,0,5e5,028f5c,0014e03200
3037,3037,0,5e6,028f5c,0012e7d400
3038,3038,0,5e7,044444,0010b1ed00
3039,3039,0,5e8,05f92c,000e4f9700
3040,3040,0,5e9,051eb8,000bdda900
3041,3041,0,5ea,05f92c,0009855400
3042,3042,0,5eb,11eb85,00077b8a00
3043,3043,0,5ec,0e81b5,0005eb9c00
3044,3044,0,5ed,0da741,0004f5c900
3045,3045,0,5ee,01b4e8,0004949400
3046,3046,0,5ef,f851ec,0004a60d00
3047,3047,0,5f0,f77778,0004e88f00
3048,3048,0,5f1,f4e81b,000509ff00
3049,3049,0,5f2,f4e81b,0004bd0700
3050,3050,0,5f3,fd70a4,0003d1b000
3051,3051,0,5f4,06d3a0,00024add00
3052,3052,0,5f5,0962fd,00005fef00
3053,3053,0,5f6,000000,fffe64ed00
3054,3054,0,5f7,fe4b18,fffcb63300
3055,3055,0,5f8,f17e4b,fffb8d4100
3056,3056,0,5f9,f40da7,fffafe0500
3057,3057,0,5fa,eaaaab,fffadc7600
3058,3058,0,5fb,f0a3d7,fffae71200
3059,3059,0,5fc,ed3a07,fffac87d00
3060,3060,0,5fd,f77778,fffa4d0f00
3061,3061,0,5fe,fae148,fff95fa100
3062,3062,0,5ff,fd70a4,fff81cd400
3063,3063,0,600,fe4b18,fff6be2400
3064,3064,0,601,01b4e8,fff591cf00
3065,3065,0,602,f33333,fff4d54a00
3066,3066,0,603,e66667,fff4a40100
3067,3067,0,604,ee147b,fff4f0c700
3068,3068,0,605,eb851f,fff5879200
3069,3069,0,606,e8f5c3,fff6212900
3070,3070,0,607,f0a3d7,fff6749c00
3071,3071,0,608,fe4b18,fff65c2e00
3072,3072,0,609,01b4e8,fff5dd2800
3073,3073,0,60a,01b4e8,fff5263100
3074,3074,0,60b,000000,fff47ee800
3075,3075,0,60c,f851ec,fff4319300
3076,3076,0,60d,f0a3d7,fff46f1200
3077,3077,0,60e,ed3a07,fff53c0e00
3078,3078,0,60f,eeeeef,fff6729e00
3079,3079,0,610,ee147b,fff7ca9f00
3080,3080,0,611,fae148,fff8faa400
3081,3081,0,612,028f5c,fff9c9e700
3082,3082,0,613,051eb8,fffa28ad00
3083,3083,0,614,ff258c,fffa25c300
3084,3084,0,615,fae148,fff9e9c200
3085,3085,0,616,eeeeef,fff9992600
3086,3086,0,617,ee147b,fff94d1c00
3087,3087,0,618,f0a3d7,fff9075200
3088,3088,0,619,e147ae,fff8afca00
3089,3089,0,61a,eaaaab,fff82d4d00
3090,3090,0,61b,fe4b18,fff771f600
3091,3091,0,61c,028f5c,fff68f9c00
3092,3092,0,61d,028f5c,fff5b07700
3093,3093,0,61e,01b4e8,fff50c7700
3094,3094,0,61f,fc9630,fff4dbea00
3095,3095,0,620,f40da7,fff53b5b00
3096,3096,0,621,f0a3d7,fff61e7600
3097,3097,0,622,f4e81b,fff757d600
3098,3098,0,623,e740db,fff89a5900
3099,3099,0,624,ec5f93,fff99ae700
3100,3100,0,625,fd70a4,fffa207e00
3101,3101,0,626,f77778,fffa118a00
3102,3102,0,627,00da74,fff9803500
3103,3103,0,628,028f5c,fff896b700
3104,3104,0,629,fe4b18,fff79d6000
3105,3105,0,62a,f4e81b,fff6d43800
3106,3106,0,62b,f0a3d7,fff669d000
3107,3107,0,62c,ed3a07,fff66cc200
3108,3108,0,62d,f4e81b,fff6d43400
3109,3109,0,62e,f33333,fff77bc200
3110,3110,0,62f,fae148,fff83eae00
3111,3111,0,630,fe4b18,fff8f6bd00
3112,3112,0,631,01b4e8,fff98f6000
3113,3113,0,632,ff258c,fff9fac500
3114,3114,0,633,01b4e8,fffa3b4600
3115,3115,0,634,fa06d4,fffa569200
3116,3116,0,635,f17e4b,fffa57b200
3117,3117,0,636,ec5f93,fffa43ac00
3118,3118,0,637,efc963,fffa1fd900
3119,3119,0,638,e8f5c3,fff9e3b800
3120,3120,0,639,f33333,fff9887500
3121,3121,0,63a,000000,fff907a600
3122,3122,0,63b,028f5c,fff86ac000
3123,3123,0,63c,01b4e8,fff7c6bc00
3124,3124,0,63d,ff258c,fff73a2800
3125,3125,0,63e,f40da7,fff6e1e900
3126,3126,0,63f,f33333,fff6d34500
3127,3127,0,640,f0a3d7,fff70d3d00
3128,3128,0,641,efc963,fff7811100
3129,3129,0,642,f33333,fff8127000
3130,3130,0,643,fd70a4,fff8a8eb00
3131,3131,0,644,07ae14,fff9392600
3132,3132,0,645,0369d0,fff9c07200
3133,3133,0,646,f4e81b,fffa38f800
3134,3134,0,647,f77778,fffa9a6700
3135,3135,0,648,ee147b,fffac9c800
3136,3136,0,649,ed3a07,fffaaba600
3137,3137,0,64a,eaaaab,fffa1e9000
3138,3138,0,64b,ec5f93,fff91b8700
3139,3139,0,64c,eeeeef,fff7b5f400
3140,3140,0,64d,01b4e8,fff62be900
3141,3141,0,64e,01b4e8,fff4caee00
3142,3142,0,64f,01b4e8,fff3e8f400
3143,3143,0,650,fa06d4,fff3b93d00
3144,3144,0,651,fd70a4,fff4503a00
3145,3145,0,652,eeeeef,fff5840600
3146,3146,0,653,e740db,fff7020d00
3147,3147,0,654,e81b4f,fff85a3d00
3148,3148,0,655,e66667,fff924d600
3149,3149,0,656,e81b4f,fff9195e00
